,CRRA,DiscFac,RiskyAvg,RiskyStd,PermShkStd,TranShkStd,solved,linear_root,cons_at_root,share_at_root,srle1
423,5.0,0.95,1.04,0.3,0.0,0.0,1,2.0639385260620116,1.0325476342615527,0.7888726647582942,1.0000536867695282
424,5.0,0.95,1.04,0.3,0.0,0.1,1,2.117093620101538,1.0338935757009566,0.7822250677030481,1.0000536867695282
425,5.0,0.95,1.04,0.3,0.0,0.2,1,2.280920726374935,1.037624056870441,0.7565297242835356,1.0000536867695282
426,5.0,0.95,1.04,0.3,0.1,0.0,1,39.93339987688995,1.3375578243565365,0.21866082118433974,1.0000536867695282
427,5.0,0.95,1.04,0.3,0.1,0.1,1,39.94348459345752,1.3375272131362375,0.21858356763165296,1.0000536867695282
428,5.0,0.95,1.04,0.3,0.1,0.2,1,39.97418471504086,1.3374333713259632,0.21834814074963793,1.0000536867695282
429,5.0,0.95,1.04,0.3,0.2,0.0,1,60.84547782024281,1.3375818525271568,0.14182364409120973,1.0000536867695282
430,5.0,0.95,1.04,0.3,0.2,0.1,1,60.84918214485362,1.337564338285683,0.14180738315381844,1.0000536867695282
431,5.0,0.95,1.04,0.3,0.2,0.2,1,60.86040183587812,1.3375115845338987,0.14175826695826,1.0000536867695282
432,5.0,0.95,1.05,0.1,0.0,0.0,1,2.94593149198752,1.092663404380358,1.0,1.0000536867695282
433,5.0,0.95,1.05,0.1,0.0,0.1,1,3.127458614795285,1.1013075530854897,1.0,1.0000536867695282
434,5.0,0.95,1.05,0.1,0.0,0.2,1,3.7289735891480906,1.1299511232927664,1.0,1.0000536867695282
435,5.0,0.95,1.05,0.1,0.1,0.0,0,,,,1.0000536867695282
436,5.0,0.95,1.05,0.1,0.1,0.1,0,,,,1.0000536867695282
437,5.0,0.95,1.05,0.1,0.1,0.2,0,,,,1.0000536867695282
438,5.0,0.95,1.05,0.1,0.2,0.0,0,,,,1.0000536867695282
439,5.0,0.95,1.05,0.1,0.2,0.1,0,,,,1.0000536867695282
440,5.0,0.95,1.05,0.1,0.2,0.2,0,,,,1.0000536867695282
441,5.0,0.95,1.05,0.2,0.0,0.0,1,2.6047341418681413,1.0764159115175307,1.0,1.0000536867695282
442,5.0,0.95,1.05,0.2,0.0,0.1,1,2.719829482544904,1.081896642025948,1.0,1.0000536867695282
443,5.0,0.95,1.05,0.2,0.0,0.2,1,3.101860967012795,1.1000886174767996,1.0,1.0000536867695282
444,5.0,0.95,1.05,0.2,0.1,0.0,0,,,,1.0000536867695282
445,5.0,0.95,1.05,0.2,0.1,0.1,0,,,,1.0000536867695282
446,5.0,0.95,1.05,0.2,0.1,0.2,0,,,,1.0000536867695282
447,5.0,0.95,1.05,0.2,0.2,0.0,0,,,,1.0000536867695282
448,5.0,0.95,1.05,0.2,0.2,0.1,0,,,,1.0000536867695282
449,5.0,0.95,1.05,0.2,0.2,0.2,0,,,,1.0000536867695282
450,5.0,0.95,1.05,0.3,0.0,0.0,1,2.414223994171522,1.0673439997224536,1.0,1.0000536867695282
451,5.0,0.95,1.05,0.3,0.0,0.1,1,2.493936885532067,1.070463369441734,0.9900285178580497,1.0000536867695282
452,5.0,0.95,1.05,0.3,0.0,0.2,1,2.715925222546562,1.0773336400335376,0.9439220234355341,1.0000536867695282
453,5.0,0.95,1.05,0.3,0.1,0.0,1,51.87003517566808,1.624199460464763,0.24846780050148176,1.0000536867695282
454,5.0,0.95,1.05,0.3,0.1,0.1,1,51.878795884993536,1.6241456722272636,0.24840262988570974,1.0000536867695282
455,5.0,0.95,1.05,0.3,0.1,0.2,1,51.905415718598285,1.6239898000191137,0.24820776329593677,1.0000536867695282
